Country of Asylum ISO,Country of Origin ISO,Year,Refugees,Asylum Seekers,Country of Origin,Country of Asylum,Origin Latitude,Origin Longitude,Asylum Latitude,Asylum Longitude
CI,SD,2020,10,0,Sudan,Côte d'Ivoire,12.862807,30.217636,7.539989,-5.54708
CI,SD,2017,9,0,Sudan,Côte d'Ivoire,12.862807,30.217636,7.539989,-5.54708
CI,SD,2018,9,0,Sudan,Côte d'Ivoire,12.862807,30.217636,7.539989,-5.54708
CI,SD,2021,10,0,Sudan,Côte d'Ivoire,12.862807,30.217636,7.539989,-5.54708
CI,SD,2016,8,0,Sudan,Côte d'Ivoire,12.862807,30.217636,7.539989,-5.54708
CM,SD,2018,94,39,Sudan,Cameroon,12.862807,30.217636,7.369722,12.354722
CM,SD,2016,68,23,Sudan,Cameroon,12.862807,30.217636,7.369722,12.354722
CM,SD,2017,79,27,Sudan,Cameroon,12.862807,30.217636,7.369722,12.354722
CM,SD,2021,59,18,Sudan,Cameroon,12.862807,30.217636,7.369722,12.354722
CM,SD,2019,98,54,Sudan,Cameroon,12.862807,30.217636,7.369722,12.354722
CM,SD,2020,102,33,Sudan,Cameroon,12.862807,30.217636,7.369722,12.354722
CU,SD,2018,0,7,Sudan,Cuba,12.862807,30.217636,21.521757,-77.781167
CU,SD,2020,10,0,Sudan,Cuba,12.862807,30.217636,21.521757,-77.781167
CU,SD,2019,0,10,Sudan,Cuba,12.862807,30.217636,21.521757,-77.781167
CU,SD,2021,10,0,Sudan,Cuba,12.862807,30.217636,21.521757,-77.781167
CY,SD,2017,10,5,Sudan,Cyprus,12.862807,30.217636,35.126413,33.429859
CY,SD,2020,13,5,Sudan,Cyprus,12.862807,30.217636,35.126413,33.429859
CY,SD,2018,13,0,Sudan,Cyprus,12.862807,30.217636,35.126413,33.429859
CY,SD,2021,13,5,Sudan,Cyprus,12.862807,30.217636,35.126413,33.429859
CY,SD,2019,13,5,Sudan,Cyprus,12.862807,30.217636,35.126413,33.429859
CY,SD,2016,8,6,Sudan,Cyprus,12.862807,30.217636,35.126413,33.429859
CZ,SD,2020,9,0,Sudan,Czech Republic,12.862807,30.217636,49.817492,15.472962
CZ,SD,2021,9,0,Sudan,Czech Republic,12.862807,30.217636,49.817492,15.472962
CZ,SD,2016,17,0,Sudan,Czech Republic,12.862807,30.217636,49.817492,15.472962
CZ,SD,2018,11,0,Sudan,Czech Republic,12.862807,30.217636,49.817492,15.472962
CZ,SD,2019,11,0,Sudan,Czech Republic,12.862807,30.217636,49.817492,15.472962
CZ,SD,2017,17,0,Sudan,Czech Republic,12.862807,30.217636,49.817492,15.472962
DE,SD,2018,2436,1843,Sudan,Germany,12.862807,30.217636,51.165691,10.451526
DE,SD,2019,2606,1829,Sudan,Germany,12.862807,30.217636,51.165691,10.451526
DE,SD,2021,2942,1017,Sudan,Germany,12.862807,30.217636,51.165691,10.451526
DE,SD,2020,2774,1224,Sudan,Germany,12.862807,30.217636,51.165691,10.451526
DE,SD,2017,1974,2290,Sudan,Germany,12.862807,30.217636,51.165691,10.451526
DE,SD,2016,693,3308,Sudan,Germany,12.862807,30.217636,51.165691,10.451526
DJ,SD,2020,7,5,Sudan,Djibouti,12.862807,30.217636,11.825138,42.590275
DJ,SD,2021,8,5,Sudan,Djibouti,12.862807,30.217636,11.825138,42.590275
DJ,SD,2018,7,0,Sudan,Djibouti,12.862807,30.217636,11.825138,42.590275
DJ,SD,2016,5,0,Sudan,Djibouti,12.862807,30.217636,11.825138,42.590275
DJ,SD,2017,6,0,Sudan,Djibouti,12.862807,30.217636,11.825138,42.590275
DJ,SD,2019,7,5,Sudan,Djibouti,12.862807,30.217636,11.825138,42.590275
DK,SD,2016,73,26,Sudan,Denmark,12.862807,30.217636,56.26392,9.501785
DK,SD,2018,71,6,Sudan,Denmark,12.862807,30.217636,56.26392,9.501785
DK,SD,2021,58,6,Sudan,Denmark,12.862807,30.217636,56.26392,9.501785
DK,SD,2017,77,8,Sudan,Denmark,12.862807,30.217636,56.26392,9.501785
DK,SD,2019,65,11,Sudan,Denmark,12.862807,30.217636,56.26392,9.501785
DK,SD,2020,63,5,Sudan,Denmark,12.862807,30.217636,56.26392,9.501785
DZ,SD,2020,13,33,Sudan,Algeria,12.862807,30.217636,28.033886,1.659626
DZ,SD,2021,16,32,Sudan,Algeria,12.862807,30.217636,28.033886,1.659626
DZ,SD,2016,0,5,Sudan,Algeria,12.862807,30.217636,28.033886,1.659626
DZ,SD,2019,8,26,Sudan,Algeria,12.862807,30.217636,28.033886,1.659626
DZ,SD,2018,5,15,Sudan,Algeria,12.862807,30.217636,28.033886,1.659626
DZ,SD,2017,0,6,Sudan,Algeria,12.862807,30.217636,28.033886,1.659626
EC,SD,2020,5,8,Sudan,Ecuador,12.862807,30.217636,-1.831239,-78.183406
EC,SD,2017,5,0,Sudan,Ecuador,12.862807,30.217636,-1.831239,-78.183406
EC,SD,2019,5,0,Sudan,Ecuador,12.862807,30.217636,-1.831239,-78.183406
EC,SD,2021,5,0,Sudan,Ecuador,12.862807,30.217636,-1.831239,-78.183406
EC,SD,2018,5,5,Sudan,Ecuador,12.862807,30.217636,-1.831239,-78.183406
EE,SD,2019,16,0,Sudan,Estonia,12.862807,30.217636,58.595272,25.013607
EE,SD,2018,18,0,Sudan,Estonia,12.862807,30.217636,58.595272,25.013607
EE,SD,2021,15,0,Sudan,Estonia,12.862807,30.217636,58.595272,25.013607
EE,SD,2017,24,0,Sudan,Estonia,12.862807,30.217636,58.595272,25.013607
EE,SD,2020,14,0,Sudan,Estonia,12.862807,30.217636,58.595272,25.013607
EE,SD,2016,25,5,Sudan,Estonia,12.862807,30.217636,58.595272,25.013607
EG,SD,2019,21861,26823,Sudan,Egypt,12.862807,30.217636,26.820553,30.802498
EG,SD,2017,17298,18439,Sudan,Egypt,12.862807,30.217636,26.820553,30.802498
EG,SD,2016,13848,19280,Sudan,Egypt,12.862807,30.217636,26.820553,30.802498
EG,SD,2021,26036,24632,Sudan,Egypt,12.862807,30.217636,26.820553,30.802498
EG,SD,2018,19540,22231,Sudan,Egypt,12.862807,30.217636,26.820553,30.802498
EG,SD,2020,25283,23966,Sudan,Egypt,12.862807,30.217636,26.820553,30.802498
ER,SD,2018,70,0,Sudan,Eritrea,12.862807,30.217636,15.179384,39.782334
ER,SD,2021,99,0,Sudan,Eritrea,12.862807,30.217636,15.179384,39.782334
ER,SD,2017,67,0,Sudan,Eritrea,12.862807,30.217636,15.179384,39.782334
ER,SD,2019,99,0,Sudan,Eritrea,12.862807,30.217636,15.179384,39.782334
ER,SD,2016,67,0,Sudan,Eritrea,12.862807,30.217636,15.179384,39.782334
ER,SD,2020,99,0,Sudan,Eritrea,12.862807,30.217636,15.179384,39.782334
ES,SD,2019,63,145,Sudan,Spain,12.862807,30.217636,40.463667,-3.74922
ES,SD,2021,176,120,Sudan,Spain,12.862807,30.217636,40.463667,-3.74922
ES,SD,2020,161,40,Sudan,Spain,12.862807,30.217636,40.463667,-3.74922
ES,SD,2018,52,130,Sudan,Spain,12.862807,30.217636,40.463667,-3.74922
ES,SD,2016,52,35,Sudan,Spain,12.862807,30.217636,40.463667,-3.74922
ES,SD,2017,54,48,Sudan,Spain,12.862807,30.217636,40.463667,-3.74922
ET,SD,2019,41479,480,Sudan,Ethiopia,12.862807,30.217636,9.145,40.489673
ET,SD,2016,39896,447,Sudan,Ethiopia,12.862807,30.217636,9.145,40.489673
ET,SD,2017,43892,497,Sudan,Ethiopia,12.862807,30.217636,9.145,40.489673
ET,SD,2021,44919,612,Sudan,Ethiopia,12.862807,30.217636,9.145,40.489673
ET,SD,2020,43566,532,Sudan,Ethiopia,12.862807,30.217636,9.145,40.489673
